p_inf,num_tests,test_functions,i,cnt,tp,tn,fp,fn,tkn_max,tkn_mean,tkn_std
0.0001,10,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",6,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",7,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",8,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9994999999999999,specificity=0.9994999999999999",9,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",0,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",1,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",2,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",3,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",4,10,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",5,18,2,691,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",6,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",7,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",8,10,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9996,specificity=0.9996",9,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",0,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",1,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",2,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",3,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",4,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",5,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",6,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",7,10,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",8,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9997,specificity=0.9997",9,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",0,11,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",1,10,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",2,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",3,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",4,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",5,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",6,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",7,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",8,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9998,specificity=0.9998",9,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",0,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",1,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",2,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",3,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",4,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",5,10,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",6,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",7,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",8,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",9,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",10,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",11,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",12,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",13,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",14,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",15,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",16,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",17,10,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",18,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",19,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",20,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",21,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",22,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",23,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",24,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",25,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",26,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",27,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",28,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",29,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",30,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",31,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",32,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",33,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.999,specificity=0.999",34,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",0,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",1,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",2,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",3,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",4,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",5,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",6,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",7,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",8,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",9,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",10,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",11,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",12,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",13,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",14,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",15,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",16,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",17,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",18,1,0,693,0,0,1,1,0.0
